name,Stark_set,exclude,reason_exclude,,
/Set E/080a.jpg,E,0,NaN,,
/Set E/081a.jpg,E,0,NaN,,
/Set E/082a.jpg,E,0,NaN,,
/Set E/083a.jpg,E,1,hard-to-understand,,
/Set E/084a.jpg,E,0,NaN,,
/Set E/085a.jpg,E,0,NaN,,
/Set E/086a.jpg,E,0,NaN,,
/Set E/087a.jpg,E,0,NaN,,
/Set E/088a.jpg,E,0,NaN,,
/Set E/089a.jpg,E,1,word,,
/Set E/090a.jpg,E,0,NaN,,
/Set E/091a.jpg,E,1,word,,
/Set E/092a.jpg,E,0,NaN,,
/Set E/093a.jpg,E,0,NaN,,
/Set E/094a.jpg,E,0,NaN,,
/Set E/095a.jpg,E,0,NaN,,
/Set E/096a.jpg,E,0,NaN,,
/Set E/097a.jpg,E,0,NaN,,
/Set E/098a.jpg,E,0,NaN,,
/Set E/099a.jpg,E,0,NaN,,
/Set E/100a.jpg,E,0,NaN,,
/Set E/101a.jpg,E,0,NaN,,
/Set E/102a.jpg,E,0,NaN,,
/Set E/103a.jpg,E,1,word,,
/Set E/104a.jpg,E,0,NaN,,
/Set E/105a.jpg,E,0,NaN,,
/Set E/106a.jpg,E,0,NaN,,
/Set E/107a.jpg,E,0,NaN,,
/Set E/108a.jpg,E,0,NaN,,
/Set E/109a.jpg,E,0,NaN,,
/Set E/110a.jpg,E,0,NaN,,
/Set E/111a.jpg,E,0,NaN,,
/Set E/112a.jpg,E,0,NaN,,
/Set E/113a.jpg,E,0,NaN,,
/Set E/114a.jpg,E,0,NaN,,
/Set E/115a.jpg,E,1,animal,,
/Set E/116a.jpg,E,0,NaN,,
/Set E/117a.jpg,E,0,NaN,,
/Set E/118a.jpg,E,0,NaN,,
/Set E/119a.jpg,E,0,NaN,,
/Set E/120a.jpg,E,1,word,,
/Set E/121a.jpg,E,0,NaN,,
/Set E/122a.jpg,E,0,NaN,,
/Set E/123a.jpg,E,0,NaN,,
/Set E/124a.jpg,E,1,in-reversal-learning-task,,
/Set E/125a.jpg,E,1,in-reversal-learning-task,,
/Set E/126a.jpg,E,0,NaN,,
/Set E/127a.jpg,E,1,in-reversal-learning-task,,
/Set E/128a.jpg,E,1,in-reversal-learning-task,,
/Set E/129a.jpg,E,0,NaN,,
/Set E/130a.jpg,E,0,NaN,,
/Set E/131a.jpg,E,1,in-reversal-learning-task,,
/Set E/132a.jpg,E,1,in-reversal-learning-task,,
/Set E/133a.jpg,E,1,word,,
/Set E/134a.jpg,E,0,NaN,,
/Set E/135a.jpg,E,0,NaN,,
/Set E/136a.jpg,E,1,word,,
/Set E/137a.jpg,E,1,hard-to-understand,,
/Set E/138a.jpg,E,1,hard-to-understand,,
/Set E/139a.jpg,E,0,NaN,,
/Set E/140a.jpg,E,1,in-reversal-learning-task,,
/Set E/141a.jpg,E,0,NaN,,
/Set E/142a.jpg,E,1,in-reversal-learning-task,,
/Set E/143a.jpg,E,1,in-reversal-learning-task,,
/Set E/144a.jpg,E,1,animal,,
/Set E/145a.jpg,E,1,in-reversal-learning-task,,
/Set E/146a.jpg,E,1,in-reversal-learning-task,,
/Set E/147a.jpg,E,1,in-reversal-learning-task,,
/Set E/148a.jpg,E,1,in-reversal-learning-task,,
/Set E/149a.jpg,E,1,in-reversal-learning-task,,
/Set E/150a.jpg,E,0,NaN,,
/Set E/151a.jpg,E,0,NaN,,
/Set E/152a.jpg,E,1,animal,,
/Set E/153a.jpg,E,0,NaN,,
/Set E/154a.jpg,E,1,animal,,
/Set E/155a.jpg,E,1,in-reversal-learning-task,,
/Set E/156a.jpg,E,1,in-reversal-learning-task,,
/Set E/157a.jpg,E,1,word,,
/Set E/158a.jpg,E,0,NaN,,
/Set E/159a.jpg,E,1,in-reversal-learning-task,,
/Set E/160a.jpg,E,1,in-reversal-learning-task,,
/Set E/161a.jpg,E,1,word,,
/Set E/162a.jpg,E,0,NaN,,
/Set E/163a.jpg,E,1,in-reversal-learning-task,,
/Set E/164a.jpg,E,0,NaN,,
/Set E/165a.jpg,E,0,NaN,,
/Set E/166a.jpg,E,1,word,,
/Set E/167a.jpg,E,1,in-reversal-learning-task,,
/Set E/168a.jpg,E,1,hard-to-understand,,
/Set E/169a.jpg,E,0,NaN,,
/Set E/170a.jpg,E,0,NaN,,
/Set E/171a.jpg,E,1,in-reversal-learning-task,,
/Set E/172a.jpg,E,0,NaN,,
/Set E/173a.jpg,E,0,NaN,,
/Set E/174a.jpg,E,1,word,,
/Set E/175a.jpg,E,1,in-reversal-learning-task,,
/Set E/176a.jpg,E,0,NaN,,
/Set E/177a.jpg,E,1,animal,,
/Set E/178a.jpg,E,1,in-reversal-learning-task,,
/Set E/179a.jpg,E,1,word,,
/Set E/180a.jpg,E,0,NaN,,
/Set E/181a.jpg,E,1,in-reversal-learning-task,,
/Set E/182a.jpg,E,1,in-reversal-learning-task,,
/Set E/183a.jpg,E,0,NaN,,
/Set E/184a.jpg,E,1,in-reversal-learning-task,,
/Set E/185a.jpg,E,0,NaN,,
/Set E/186a.jpg,E,0,NaN,,
/Set E/187a.jpg,E,0,NaN,,
/Set E/188a.jpg,E,1,word,,
/Set E/189a.jpg,E,1,word,,
/Set E/190a.jpg,E,1,hard-to-understand,,
/Set E/191a.jpg,E,1,in-reversal-learning-task,,
/Set E/192a.jpg,E,0,NaN,,
/Set F/001a.jpg,F,1,in-reversal-learning-task,,
/Set F/002a.jpg,F,1,in-reversal-learning-task,,
/Set F/003a.jpg,F,1,in-reversal-learning-task,,
/Set F/004a.jpg,F,0,NaN,,
/Set F/005a.jpg,F,1,in-reversal-learning-task,,
/Set F/006a.jpg,F,0,NaN,,
/Set F/007a.jpg,F,0,NaN,,
/Set F/008a.jpg,F,1,hard-to-understand,,
/Set F/009a.jpg,F,0,NaN,,
/Set F/010a.jpg,F,1,animal,,
/Set F/011a.jpg,F,0,NaN,,
/Set F/012a.jpg,F,1,word,,
/Set F/013a.jpg,F,0,NaN,,
/Set F/014a.jpg,F,0,NaN,,
/Set F/015a.jpg,F,1,in-reversal-learning-task,,
/Set F/016a.jpg,F,1,bad-automatic-background-delineation,,
/Set F/017a.jpg,F,0,NaN,,
/Set F/018a.jpg,F,1,bad-automatic-background-delineation,,
/Set F/019a.jpg,F,1,in-reversal-learning-task,,
/Set F/020a.jpg,F,1,bad-automatic-background-delineation,,
/Set F/021a.jpg,F,1,in-reversal-learning-task,,
/Set F/022a.jpg,F,1,in-reversal-learning-task,,
/Set F/023a.jpg,F,1,in-reversal-learning-task,,
/Set F/024a.jpg,F,1,animal,,
/Set F/025a.jpg,F,1,in-reversal-learning-task,,
/Set F/026a.jpg,F,1,hard-to-understand,,
/Set F/027a.jpg,F,0,NaN,,
/Set F/028a.jpg,F,0,NaN,,
/Set F/029a.jpg,F,1,in-reversal-learning-task,,
/Set F/030a.jpg,F,0,NaN,,
/Set F/031a.jpg,F,0,NaN,,
/Set F/032a.jpg,F,1,in-reversal-learning-task,,
/Set F/033a.jpg,F,1,in-reversal-learning-task,,
